uuid,timestamp,event,amount_loan,risk_level,assessment,income
2,2022-12-10 11:27:42,Customer applies for loan,,,,
2,2022-12-10 13:27:42,Check application data,99946,,,4943
2,2022-12-10 15:27:42,Extensive Check,,1,,
2,2022-12-10 17:27:42,Overall Assessment,,,,
2,2022-12-10 19:27:42,Inform Customer,,,,
3,2022-11-26 17:05:38,Customer applies for loan,,,,
3,2022-11-26 19:05:38,Check application data,20804,,,4063
3,2022-11-26 21:05:38,Normal Check,,4,,
3,2022-11-26 23:05:38,Overall Assessment,,,,
3,2022-11-27 01:05:38,Inform Customer,,,,
4,2022-12-13 11:39:28,Customer applies for loan,,,,
4,2022-12-13 13:39:28,Check application data,15203,,,2107
4,2022-12-13 15:39:28,Normal Check,,3,,
4,2022-12-13 17:39:28,Overall Assessment,,,,
4,2022-12-13 19:39:28,Inform Customer,,,,
5,2022-12-11 12:16:13,Customer applies for loan,,,,
5,2022-12-11 14:16:13,Check application data,29321,,,2124
5,2022-12-11 16:16:13,Normal Check,,0,,
5,2022-12-11 18:16:13,Overall Assessment,,,,
5,2022-12-11 20:16:13,Inform Customer,,,,
6,2022-11-27 14:29:34,Customer applies for loan,,,,
6,2022-11-27 16:29:34,Check application data,76021,,,2945
6,2022-11-27 18:29:34,Normal Check,,4,,
6,2022-11-27 20:29:34,Overall Assessment,,,,
6,2022-11-27 22:29:34,Inform Customer,,,,
7,2022-11-28 16:12:45,Customer applies for loan,,,,
7,2022-11-28 18:12:45,Check application data,40959,,,6585
7,2022-11-28 20:12:45,Normal Check,,4,,
7,2022-11-28 22:12:45,Overall Assessment,,,,
7,2022-11-29 00:12:45,Inform Customer,,,,
8,2022-12-05 11:37:21,Customer applies for loan,,,,
8,2022-12-05 13:37:21,Check application data,97772,,,5088
8,2022-12-05 15:37:21,Extensive Check,,3,,
8,2022-12-05 17:37:21,Overall Assessment,,,,
8,2022-12-05 19:37:21,Inform Customer,,,,
9,2022-11-26 12:52:57,Customer applies for loan,,,,
9,2022-11-26 14:52:57,Check application data,91876,,,3323
9,2022-11-26 16:52:57,Extensive Check,,4,,
9,2022-11-26 18:52:57,Overall Assessment,,,,
9,2022-11-26 20:52:57,Inform Customer,,,,
10,2022-12-01 15:18:55,Customer applies for loan,,,,
10,2022-12-01 17:18:55,Check application data,83842,,,8197
10,2022-12-01 19:18:55,Extensive Check,,2,,
10,2022-12-01 21:18:55,Overall Assessment,,,,
10,2022-12-01 23:18:55,Inform Customer,,,,
11,2022-11-28 18:52:22,Customer applies for loan,,,,
11,2022-11-28 20:52:22,Check application data,20947,,,2352
11,2022-11-28 22:52:22,Normal Check,,3,,
11,2022-11-29 00:52:22,Overall Assessment,,,,
11,2022-11-29 02:52:22,Inform Customer,,,,
12,2022-12-12 18:19:05,Customer applies for loan,,,,
12,2022-12-12 20:19:05,Check application data,68567,,,8267
12,2022-12-12 22:19:05,Normal Check,,4,,
