uuid,timestamp,event,amount_loan,risk_level,assessment
2,2022-12-01 16:44:43,Customer applies for loan,,,
2,2022-12-01 18:44:43,Check application data,31365,,
2,2022-12-01 20:44:43,Normal Check,,3,
2,2022-12-01 22:44:43,Overall Assessment,,,
2,2022-12-02 00:44:43,Inform Customer,,,
3,2022-11-29 12:50:17,Customer applies for loan,,,
3,2022-11-29 14:50:17,Check application data,90138,,
3,2022-11-29 16:50:17,Extensive Check,,4,
3,2022-11-29 18:50:17,Overall Assessment,,,
3,2022-11-29 20:50:17,Inform Customer,,,
4,2022-12-13 13:15:12,Customer applies for loan,,,
4,2022-12-13 15:15:12,Check application data,91032,,
4,2022-12-13 17:15:12,Extensive Check,,1,
4,2022-12-13 19:15:12,Overall Assessment,,,
4,2022-12-13 21:15:12,Inform Customer,,,
5,2022-12-06 18:39:48,Customer applies for loan,,,
5,2022-12-06 20:39:48,Check application data,97233,,
5,2022-12-06 22:39:48,Extensive Check,,2,
5,2022-12-07 00:39:48,Overall Assessment,,,
5,2022-12-07 02:39:48,Inform Customer,,,
6,2022-12-05 13:33:14,Customer applies for loan,,,
6,2022-12-05 15:33:14,Check application data,63162,,
6,2022-12-05 17:33:14,Normal Check,,1,
6,2022-12-05 19:33:14,Overall Assessment,,,
6,2022-12-05 21:33:14,Inform Customer,,,
7,2022-12-09 16:20:37,Customer applies for loan,,,
7,2022-12-09 18:20:37,Check application data,22851,,
7,2022-12-09 20:20:37,Normal Check,,4,
7,2022-12-09 22:20:37,Overall Assessment,,,
7,2022-12-10 00:20:37,Inform Customer,,,
8,2022-12-11 09:22:04,Customer applies for loan,,,
8,2022-12-11 11:22:04,Check application data,73753,,
8,2022-12-11 13:22:04,Extensive Check,,1,
8,2022-12-11 15:22:04,Overall Assessment,,,
8,2022-12-11 17:22:04,Inform Customer,,,
9,2022-12-03 12:05:15,Customer applies for loan,,,
9,2022-12-03 14:05:15,Check application data,63433,,
9,2022-12-03 16:05:15,Normal Check,,1,
9,2022-12-03 18:05:15,Overall Assessment,,,
9,2022-12-03 20:05:15,Inform Customer,,,
10,2022-12-09 08:15:55,Customer applies for loan,,,
10,2022-12-09 10:15:55,Check application data,91406,,
10,2022-12-09 12:15:55,Extensive Check,,1,
10,2022-12-09 14:15:55,Overall Assessment,,,
10,2022-12-09 16:15:55,Inform Customer,,,
11,2022-12-12 13:49:12,Customer applies for loan,,,
11,2022-12-12 15:49:12,Check application data,43202,,
11,2022-12-12 17:49:12,Normal Check,,4,
11,2022-12-12 19:49:12,Overall Assessment,,,
11,2022-12-12 21:49:12,Inform Customer,,,
12,2022-12-02 13:06:57,Customer applies for loan,,,
12,2022-12-02 15:06:57,Check application data,36662,,
12,2022-12-02 17:06:57,Normal Check,,1,
12,2022-12-02 19:06:57,Overall Assessment,,,
12,2022-12-02 21:06:57,Inform Customer,,,
13,2022-12-01 15:55:13,Customer applies for loan,,,
13,2022-12-01 17:55:13,Check application data,97461,,
13,2022-12-01 19:55:13,Extensive Check,,1,
13,2022-12-01 21:55:13,Overall Assessment,,,
13,2022-12-01 23:55:13,Inform Customer,,,
14,2022-12-10 11:17:50,Customer applies for loan,,,
14,2022-12-10 13:17:50,Check application data,19157,,
14,2022-12-10 15:17:50,Normal Check,,2,
14,2022-12-10 17:17:50,Overall Assessment,,,
14,2022-12-10 19:17:50,Inform Customer,,,
15,2022-12-11 08:57:25,Customer applies for loan,,,
15,2022-12-11 10:57:25,Check application data,5606,,
15,2022-12-11 12:57:25,Normal Check,,1,
15,2022-12-11 14:57:25,Overall Assessment,,,
15,2022-12-11 16:57:25,Inform Customer,,,
16,2022-12-06 17:53:34,Customer applies for loan,,,
16,2022-12-06 19:53:34,Check application data,30033,,
16,2022-12-06 21:53:34,Normal Check,,1,
16,2022-12-06 23:53:34,Overall Assessment,,,
16,2022-12-07 01:53:34,Inform Customer,,,
17,2022-12-03 10:12:08,Customer applies for loan,,,
17,2022-12-03 12:12:08,Check application data,65082,,
17,2022-12-03 14:12:08,Normal Check,,3,
17,2022-12-03 16:12:08,Overall Assessment,,,
17,2022-12-03 18:12:08,Inform Customer,,,
18,2022-12-04 18:06:27,Customer applies for loan,,,
18,2022-12-04 20:06:27,Check application data,11654,,
18,2022-12-04 22:06:27,Normal Check,,0,
18,2022-12-05 00:06:27,Overall Assessment,,,
18,2022-12-05 02:06:27,Inform Customer,,,
19,2022-12-13 08:35:12,Customer applies for loan,,,
19,2022-12-13 10:35:12,Check application data,75065,,
19,2022-12-13 12:35:12,Extensive Check,,3,
19,2022-12-13 14:35:12,Overall Assessment,,,
19,2022-12-13 16:35:12,Inform Customer,,,
20,2022-11-27 13:17:57,Customer applies for loan,,,
