uuid,timestamp,event,amount_loan,risk_level,assessment
2,2022-12-15 09:58:18,Customer applies for loan,,,
2,2022-12-15 11:58:18,Check application data,85629,,
2,2022-12-15 13:58:18,Extensive Check,,3,
2,2022-12-15 15:58:18,Overall Assessment,,,
2,2022-12-15 17:58:18,Inform Customer,,,
3,2022-12-11 15:44:56,Customer applies for loan,,,
3,2022-12-11 17:44:56,Check application data,96607,,
3,2022-12-11 19:44:56,Extensive Check,,1,
3,2022-12-11 21:44:56,Overall Assessment,,,
3,2022-12-11 23:44:56,Inform Customer,,,
4,2022-12-15 15:28:19,Customer applies for loan,,,
4,2022-12-15 17:28:19,Check application data,95011,,
4,2022-12-15 19:28:19,Extensive Check,,4,
4,2022-12-15 21:28:19,Overall Assessment,,,
4,2022-12-15 23:28:19,Inform Customer,,,
5,2022-11-30 09:49:41,Customer applies for loan,,,
5,2022-11-30 11:49:41,Check application data,12494,,
5,2022-11-30 13:49:41,Normal Check,,3,
5,2022-11-30 15:49:41,Overall Assessment,,,
5,2022-11-30 17:49:41,Inform Customer,,,
6,2022-12-06 08:22:02,Customer applies for loan,,,
6,2022-12-06 10:22:02,Check application data,44876,,
6,2022-12-06 12:22:02,Normal Check,,1,
6,2022-12-06 14:22:02,Overall Assessment,,,
6,2022-12-06 16:22:02,Inform Customer,,,
7,2022-12-06 08:52:54,Customer applies for loan,,,
7,2022-12-06 10:52:54,Check application data,37727,,
7,2022-12-06 12:52:54,Normal Check,,0,
7,2022-12-06 14:52:54,Overall Assessment,,,
7,2022-12-06 16:52:54,Inform Customer,,,
8,2022-12-02 10:33:23,Customer applies for loan,,,
8,2022-12-02 12:33:23,Check application data,10186,,
8,2022-12-02 14:33:23,Normal Check,,2,
8,2022-12-02 16:33:23,Overall Assessment,,,
8,2022-12-02 18:33:23,Inform Customer,,,
9,2022-11-26 16:14:09,Customer applies for loan,,,
9,2022-11-26 18:14:09,Check application data,21092,,
9,2022-11-26 20:14:09,Normal Check,,1,
9,2022-11-26 22:14:09,Overall Assessment,,,
9,2022-11-27 00:14:09,Inform Customer,,,
10,2022-12-08 17:22:34,Customer applies for loan,,,
10,2022-12-08 19:22:34,Check application data,71461,,
10,2022-12-08 21:22:34,Normal Check,,4,
10,2022-12-08 23:22:34,Overall Assessment,,,
10,2022-12-09 01:22:34,Inform Customer,,,
