uuid,timestamp,event,amount_loan,risk_level,assessment
2,2022-12-11 13:48:23,Customer applies for loan,,,
2,2022-12-11 15:48:23,Check application data,61483,,
2,2022-12-11 17:48:23,Normal Check,,0,
2,2022-12-11 19:48:23,Overall Assessment,,,True
2,2022-12-11 21:48:23,Inform Customer,,,
3,2022-11-27 09:56:35,Customer applies for loan,,,
3,2022-11-27 11:56:35,Check application data,96584,,
3,2022-11-27 13:56:35,Extensive Check,,4,
3,2022-11-27 15:56:35,Overall Assessment,,,False
3,2022-11-27 17:56:35,Inform Customer,,,
4,2022-12-02 16:07:29,Customer applies for loan,,,
4,2022-12-02 18:07:29,Check application data,10629,,
4,2022-12-02 20:07:29,Normal Check,,1,
4,2022-12-02 22:07:29,Overall Assessment,,,True
4,2022-12-03 00:07:29,Inform Customer,,,
5,2022-12-02 14:28:43,Customer applies for loan,,,
5,2022-12-02 16:28:43,Check application data,53690,,
5,2022-12-02 18:28:43,Normal Check,,1,
5,2022-12-02 20:28:43,Overall Assessment,,,True
5,2022-12-02 22:28:43,Inform Customer,,,
6,2022-11-30 18:29:07,Customer applies for loan,,,
6,2022-11-30 20:29:07,Check application data,91185,,
6,2022-11-30 22:29:07,Extensive Check,,3,
6,2022-12-01 00:29:07,Overall Assessment,,,False
6,2022-12-01 02:29:07,Inform Customer,,,
7,2022-11-26 13:18:32,Customer applies for loan,,,
7,2022-11-26 15:18:32,Check application data,91145,,
7,2022-11-26 17:18:32,Extensive Check,,0,
7,2022-11-26 19:18:32,Overall Assessment,,,True
7,2022-11-26 21:18:32,Inform Customer,,,
8,2022-12-15 10:49:13,Customer applies for loan,,,
8,2022-12-15 12:49:13,Check application data,57019,,
8,2022-12-15 14:49:13,Normal Check,,4,
8,2022-12-15 16:49:13,Overall Assessment,,,False
8,2022-12-15 18:49:13,Inform Customer,,,
9,2022-12-02 15:32:38,Customer applies for loan,,,
9,2022-12-02 17:32:38,Check application data,67963,,
9,2022-12-02 19:32:38,Normal Check,,1,
9,2022-12-02 21:32:38,Overall Assessment,,,True
9,2022-12-02 23:32:38,Inform Customer,,,
10,2022-12-12 10:11:16,Customer applies for loan,,,
10,2022-12-12 12:11:16,Check application data,58188,,
10,2022-12-12 14:11:16,Normal Check,,0,
10,2022-12-12 16:11:16,Overall Assessment,,,True
10,2022-12-12 18:11:16,Inform Customer,,,
11,2022-12-05 18:45:34,Customer applies for loan,,,
11,2022-12-05 20:45:34,Check application data,98641,,
11,2022-12-05 22:45:34,Extensive Check,,3,
11,2022-12-06 00:45:34,Overall Assessment,,,False
11,2022-12-06 02:45:34,Inform Customer,,,
12,2022-12-11 08:26:26,Customer applies for loan,,,
12,2022-12-11 10:26:26,Check application data,19739,,
12,2022-12-11 12:26:26,Normal Check,,4,
12,2022-12-11 14:26:26,Overall Assessment,,,False
12,2022-12-11 16:26:26,Inform Customer,,,
13,2022-12-02 09:54:28,Customer applies for loan,,,
13,2022-12-02 11:54:28,Check application data,80664,,
13,2022-12-02 13:54:28,Extensive Check,,2,
13,2022-12-02 15:54:28,Overall Assessment,,,False
13,2022-12-02 17:54:28,Inform Customer,,,
14,2022-12-13 16:16:05,Customer applies for loan,,,
14,2022-12-13 18:16:05,Check application data,39235,,
14,2022-12-13 20:16:05,Normal Check,,2,
14,2022-12-13 22:16:05,Overall Assessment,,,True
14,2022-12-14 00:16:05,Inform Customer,,,
15,2022-12-12 09:10:30,Customer applies for loan,,,
15,2022-12-12 11:10:30,Check application data,76850,,
15,2022-12-12 13:10:30,Normal Check,,1,
15,2022-12-12 15:10:30,Overall Assessment,,,True
15,2022-12-12 17:10:30,Inform Customer,,,
16,2022-12-05 15:04:41,Customer applies for loan,,,
16,2022-12-05 17:04:41,Check application data,88625,,
16,2022-12-05 19:04:41,Extensive Check,,2,
16,2022-12-05 21:04:41,Overall Assessment,,,False
16,2022-12-05 23:04:41,Inform Customer,,,
17,2022-12-07 12:47:34,Customer applies for loan,,,
17,2022-12-07 14:47:34,Check application data,11376,,
17,2022-12-07 16:47:34,Normal Check,,0,
17,2022-12-07 18:47:34,Overall Assessment,,,True
17,2022-12-07 20:47:34,Inform Customer,,,
18,2022-12-05 09:57:23,Customer applies for loan,,,
18,2022-12-05 11:57:23,Check application data,11445,,
18,2022-12-05 13:57:23,Normal Check,,2,
18,2022-12-05 15:57:23,Overall Assessment,,,True
18,2022-12-05 17:57:23,Inform Customer,,,
19,2022-12-10 17:36:10,Customer applies for loan,,,
19,2022-12-10 19:36:10,Check application data,58696,,
19,2022-12-10 21:36:10,Normal Check,,2,
19,2022-12-10 23:36:10,Overall Assessment,,,True
19,2022-12-11 01:36:10,Inform Customer,,,
20,2022-11-26 18:00:18,Customer applies for loan,,,
20,2022-11-26 20:00:18,Check application data,69586,,
20,2022-11-26 22:00:18,Normal Check,,2,
20,2022-11-27 00:00:18,Overall Assessment,,,True
20,2022-11-27 02:00:18,Inform Customer,,,
21,2022-12-09 18:22:41,Customer applies for loan,,,
21,2022-12-09 20:22:41,Check application data,41274,,
21,2022-12-09 22:22:41,Normal Check,,4,
21,2022-12-10 00:22:41,Overall Assessment,,,False
21,2022-12-10 02:22:41,Inform Customer,,,
22,2022-11-26 10:30:18,Customer applies for loan,,,
22,2022-11-26 12:30:18,Check application data,79224,,
22,2022-11-26 14:30:18,Normal Check,,3,
22,2022-11-26 16:30:18,Overall Assessment,,,True
22,2022-11-26 18:30:18,Inform Customer,,,
23,2022-11-28 11:34:56,Customer applies for loan,,,
23,2022-11-28 13:34:56,Check application data,13750,,
23,2022-11-28 15:34:56,Normal Check,,4,
23,2022-11-28 17:34:56,Overall Assessment,,,False
23,2022-11-28 19:34:56,Inform Customer,,,
24,2022-12-10 09:27:03,Customer applies for loan,,,
24,2022-12-10 11:27:03,Check application data,53874,,
24,2022-12-10 13:27:03,Normal Check,,3,
24,2022-12-10 15:27:03,Overall Assessment,,,True
24,2022-12-10 17:27:03,Inform Customer,,,
25,2022-12-08 08:20:00,Customer applies for loan,,,
25,2022-12-08 10:20:00,Check application data,10654,,
25,2022-12-08 12:20:00,Normal Check,,4,
25,2022-12-08 14:20:00,Overall Assessment,,,False
25,2022-12-08 16:20:00,Inform Customer,,,
26,2022-11-30 17:17:17,Customer applies for loan,,,
26,2022-11-30 19:17:17,Check application data,91291,,
26,2022-11-30 21:17:17,Extensive Check,,4,
26,2022-11-30 23:17:17,Overall Assessment,,,False
26,2022-12-01 01:17:17,Inform Customer,,,
27,2022-12-10 12:57:01,Customer applies for loan,,,
27,2022-12-10 14:57:01,Check application data,21989,,
27,2022-12-10 16:57:01,Normal Check,,4,
27,2022-12-10 18:57:01,Overall Assessment,,,False
27,2022-12-10 20:57:01,Inform Customer,,,
28,2022-12-03 09:04:59,Customer applies for loan,,,
28,2022-12-03 11:04:59,Check application data,41332,,
28,2022-12-03 13:04:59,Normal Check,,2,
28,2022-12-03 15:04:59,Overall Assessment,,,True
28,2022-12-03 17:04:59,Inform Customer,,,
29,2022-12-01 11:28:49,Customer applies for loan,,,
29,2022-12-01 13:28:49,Check application data,74192,,
29,2022-12-01 15:28:49,Normal Check,,2,
29,2022-12-01 17:28:49,Overall Assessment,,,True
29,2022-12-01 19:28:49,Inform Customer,,,
30,2022-12-06 11:21:54,Customer applies for loan,,,
30,2022-12-06 13:21:54,Check application data,98965,,
30,2022-12-06 15:21:54,Extensive Check,,3,
30,2022-12-06 17:21:54,Overall Assessment,,,False
30,2022-12-06 19:21:54,Inform Customer,,,
31,2022-12-13 18:12:27,Customer applies for loan,,,
31,2022-12-13 20:12:27,Check application data,56401,,
31,2022-12-13 22:12:27,Normal Check,,0,
31,2022-12-14 00:12:27,Overall Assessment,,,True
31,2022-12-14 02:12:27,Inform Customer,,,
32,2022-12-02 17:34:55,Customer applies for loan,,,
32,2022-12-02 19:34:55,Check application data,26884,,
32,2022-12-02 21:34:55,Normal Check,,1,
32,2022-12-02 23:34:55,Overall Assessment,,,True
32,2022-12-03 01:34:55,Inform Customer,,,
33,2022-12-01 12:15:49,Customer applies for loan,,,
33,2022-12-01 14:15:49,Check application data,84707,,
33,2022-12-01 16:15:49,Extensive Check,,1,
33,2022-12-01 18:15:49,Overall Assessment,,,False
33,2022-12-01 20:15:49,Inform Customer,,,
34,2022-12-04 14:01:54,Customer applies for loan,,,
34,2022-12-04 16:01:54,Check application data,90377,,
34,2022-12-04 18:01:54,Extensive Check,,2,
34,2022-12-04 20:01:54,Overall Assessment,,,False
34,2022-12-04 22:01:54,Inform Customer,,,
35,2022-12-08 11:41:39,Customer applies for loan,,,
35,2022-12-08 13:41:39,Check application data,21367,,
35,2022-12-08 15:41:39,Normal Check,,3,
35,2022-12-08 17:41:39,Overall Assessment,,,True
35,2022-12-08 19:41:39,Inform Customer,,,
36,2022-12-04 16:19:20,Customer applies for loan,,,
36,2022-12-04 18:19:20,Check application data,35197,,
36,2022-12-04 20:19:20,Normal Check,,3,
36,2022-12-04 22:19:20,Overall Assessment,,,True
36,2022-12-05 00:19:20,Inform Customer,,,
37,2022-12-03 08:19:32,Customer applies for loan,,,
37,2022-12-03 10:19:32,Check application data,26610,,
37,2022-12-03 12:19:32,Normal Check,,2,
37,2022-12-03 14:19:32,Overall Assessment,,,True
37,2022-12-03 16:19:32,Inform Customer,,,
38,2022-12-11 13:09:59,Customer applies for loan,,,
38,2022-12-11 15:09:59,Check application data,73197,,
38,2022-12-11 17:09:59,Normal Check,,4,
38,2022-12-11 19:09:59,Overall Assessment,,,False
38,2022-12-11 21:09:59,Inform Customer,,,
39,2022-11-28 12:40:34,Customer applies for loan,,,
39,2022-11-28 14:40:34,Check application data,50265,,
39,2022-11-28 16:40:34,Normal Check,,2,
39,2022-11-28 18:40:34,Overall Assessment,,,True
39,2022-11-28 20:40:34,Inform Customer,,,
40,2022-11-26 09:36:16,Customer applies for loan,,,
40,2022-11-26 11:36:16,Check application data,66771,,
40,2022-11-26 13:36:16,Normal Check,,3,
40,2022-11-26 15:36:16,Overall Assessment,,,True
40,2022-11-26 17:36:16,Inform Customer,,,
41,2022-11-27 12:17:39,Customer applies for loan,,,
41,2022-11-27 14:17:39,Check application data,50533,,
41,2022-11-27 16:17:39,Normal Check,,2,
41,2022-11-27 18:17:39,Overall Assessment,,,True
41,2022-11-27 20:17:39,Inform Customer,,,
42,2022-11-26 16:09:15,Customer applies for loan,,,
42,2022-11-26 18:09:15,Check application data,74655,,
42,2022-11-26 20:09:15,Normal Check,,3,
42,2022-11-26 22:09:15,Overall Assessment,,,True
42,2022-11-27 00:09:15,Inform Customer,,,
43,2022-12-03 13:32:20,Customer applies for loan,,,
43,2022-12-03 15:32:20,Check application data,16803,,
43,2022-12-03 17:32:20,Normal Check,,3,
43,2022-12-03 19:32:20,Overall Assessment,,,True
43,2022-12-03 21:32:20,Inform Customer,,,
44,2022-12-07 09:59:27,Customer applies for loan,,,
44,2022-12-07 11:59:27,Check application data,42883,,
44,2022-12-07 13:59:27,Normal Check,,3,
44,2022-12-07 15:59:27,Overall Assessment,,,True
44,2022-12-07 17:59:27,Inform Customer,,,
45,2022-12-12 17:13:30,Customer applies for loan,,,
45,2022-12-12 19:13:30,Check application data,36703,,
45,2022-12-12 21:13:30,Normal Check,,3,
45,2022-12-12 23:13:30,Overall Assessment,,,True
45,2022-12-13 01:13:30,Inform Customer,,,
46,2022-12-12 16:29:10,Customer applies for loan,,,
46,2022-12-12 18:29:10,Check application data,84614,,
46,2022-12-12 20:29:10,Extensive Check,,2,
46,2022-12-12 22:29:10,Overall Assessment,,,False
46,2022-12-13 00:29:10,Inform Customer,,,
47,2022-12-09 10:48:24,Customer applies for loan,,,
47,2022-12-09 12:48:24,Check application data,92374,,
47,2022-12-09 14:48:24,Extensive Check,,2,
47,2022-12-09 16:48:24,Overall Assessment,,,False
47,2022-12-09 18:48:24,Inform Customer,,,
48,2022-12-12 11:21:46,Customer applies for loan,,,
48,2022-12-12 13:21:46,Check application data,75389,,
48,2022-12-12 15:21:46,Normal Check,,2,
48,2022-12-12 17:21:46,Overall Assessment,,,True
48,2022-12-12 19:21:46,Inform Customer,,,
49,2022-12-06 10:24:58,Customer applies for loan,,,
49,2022-12-06 12:24:58,Check application data,22064,,
49,2022-12-06 14:24:58,Normal Check,,4,
